Year,Month,Date,ET0_mm,,,
2018,2,2018-03-04,201.2,,,
2018,3,2018-04-04,152.6,,,
2018,4,2018-05-05,102.2,,,
2018,5,2018-06-05,39.6,,,
2018,6,2018-07-06,23,,,
2018,7,2018-08-06,38.8,,,
2018,8,2018-09-06,56.4,,,
2018,9,2018-10-07,121.8,,,
2018,10,2018-11-07,146.8,,,
2018,11,2018-12-08,180.4,,,
2018,12,2019-01-01,88.2,,,
2019,1,2019-02-01,258.4,,,
2019,2,2019-03-04,206.2,,,
2019,3,2019-04-04,146.6,,,
2019,4,2019-05-05,82.2,,,
2019,5,2019-06-05,27.8,,,
2019,6,2019-07-06,22,,,
2019,7,2019-08-06,33,,,
2019,8,2019-09-06,71.2,,,
2019,9,2019-10-07,100,,,
2019,10,2019-11-07,152.6,,,
2019,11,2019-12-08,223,,,
2019,12,2020-01-01,112.2,,,
2020,1,2020-02-01,211.6,,,
2020,2,2020-03-03,187,,,
2020,3,2020-04-03,133.8,,,
2020,4,2020-05-04,56.4,,,
2020,5,2020-06-04,28.8,,,
2020,6,2020-07-05,21.6,,,
2020,7,2020-08-05,29.8,,,
2020,8,2020-09-05,51.4,,,
2020,9,2020-10-06,80.8,,,
2020,10,2020-11-06,137.4,,,
2020,11,2020-12-07,213.4,,,
2020,12,2021-01-01,98.4,,,
